end_station_name,member_casual,end_lat,end_lng,total_trips
Clinton St & Polk St,member,41.8715049133053,-87.640932685582911,646
Franklin St & Chicago Ave,member,41.896736598063313,-87.6356761332437,7819
Wells St & Walton St,member,41.899946004433055,-87.634422131022674,3807
Shields Ave & 31st St,member,41.838449404513895,-87.635371557183163,1536
Kimbark Ave & 53rd St,casual,41.799594848740448,-87.594739595928928,2964
MLK Jr Dr & 63rd St,member,41.780093976642164,-87.615919182725435,97
Wells St & Hubbard St,member,41.889926860232023,-87.634285970827534,10775
Wells St & 19th St,casual,41.856798569870485,-87.63387254481934,978
Halsted St & Clybourn Ave,casual,41.909648260679134,-87.648114069086972,3691
Eckhart Park,casual,41.896373640433879,-87.660967841058323,2589
Clark St & Elm St,casual,41.90296953893494,-87.631298415112383,10616
Wabash Ave & Wacker Pl,casual,41.886893185776188,-87.626037723115857,7771
Sedgwick St & Huron St,member,41.89467996401104,-87.638400258211178,7368
Clifton Ave & Armitage Ave,member,41.918208394833357,-87.6569208825966,5271
