start_station_name,member_casual,start_lat,start_lng,total_trips
Stetson Ave & South Water St,member,41.886779460216786,-87.622288269459816,5597
Rush St & Cedar St,casual,41.9023244792294,-87.627710022416309,6407
Kostner Ave & Lake St,member,41.885917743589737,-87.73541742307691,13
Damen Ave & Pierce Ave,member,41.909396745015968,-87.677694934867674,8925
State St & Pearson St,member,41.897435687395117,-87.628721638572969,5363
Ritchie Ct & Banks St,member,41.906874868001786,-87.626204021664677,6716
Damen Ave & Cortland St,casual,41.915985069569246,-87.677327911631053,3227
Morgan St & Polk St,member,41.871744301286519,-87.651018657684276,5752
Western Ave & Leland Ave,casual,41.96649805613901,-87.6884204336609,1370
Damen Ave & Pierce Ave,casual,41.909395675091488,-87.677692921783489,5847
Sheridan Rd & Montrose Ave,casual,41.96166012801158,-87.654635623437,4372
Blue Island Ave & 18th St,member,41.857563799185044,-87.6615320858586,2904
Wabash Ave & 9th St,casual,41.870761778803683,-87.625730939712085,6715
Emerald Ave & 31st St,casual,41.838202777350425,-87.645135783547,780
Broadway & Berwyn Ave,member,41.978362783261957,-87.659764234118484,4670
Broadway & Berwyn Ave,casual,41.978360754278036,-87.659762317211133,2357
Paulina St & 18th St,casual,41.857899196360165,-87.668718918856058,1218
Lake Park Ave & 53rd St,casual,41.799501514395423,-87.586445336022734,2464
900 W Harrison St,member,41.874772448582121,-87.64980413623141,3209
Franklin St & Adams St (Temp),casual,41.879389636152744,-87.635507488514079,1979
Wood St & Taylor St (Temp),member,41.869279965803976,-87.673719732844063,1361
Wood St & Taylor St (Temp),casual,41.869297953191435,-87.673701947349372,138
Halsted St & Dickens Ave,casual,41.919937117097355,-87.648831554770041,4102
Seeley Ave & Roscoe St,member,41.943400029234859,-87.679617877255552,2383
Clarendon Ave & Gordon Ter,member,41.957931394517971,-87.649521819425559,6683
Jeffery Blvd & 67th St,member,41.773515222540944,-87.577198460875721,173
Chicago Ave & Washington St,casual,42.032567855699845,-87.679114478499272,1155
Daley Center Plaza,member,41.884205598949855,-87.629613083655144,9840
Sheffield Ave & Fullerton Ave,casual,41.925600864527979,-87.653707079162288,3343
California Ave & Fletcher St,member,41.938422732105259,-87.698008007629866,1232
Damen Ave & Chicago Ave,member,41.895765219264035,-87.6772007979481,5897
Halsted St & 35th St,member,41.830670881010093,-87.647171411717153,825
Halsted St & 35th St,casual,41.830668015765767,-87.647168156156141,444
Drake Ave & Fullerton Ave,casual,41.924396080505275,-87.715431213989433,884
Dearborn St & Adams St,member,41.879333137902748,-87.629784307372645,4860
Shedd Aquarium,member,41.867224040747068,-87.61536313863337,4067
State St & Van Buren St,casual,41.877175103186737,-87.627844066347976,2615
Western Ave & Walton St,casual,41.898416299731657,-87.686596226364287,1931
Larrabee St & Webster Ave,member,41.921817067992336,-87.644123383039485,12195
